ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;CONSUMO
2000;OUT;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;7631
2000;MAR;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;9945
2000;ABR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;9667
2000;JAN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;7974
2000;FEV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;7754
2000;JUL;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;8679
2000;AGO;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;8968
2000;MAI;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;9178
2000;JUN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;8970
2000;MAI;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3003,2101
2000;MAI;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3063,317
2000;FEV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3527,1031
2000;MAR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;2909,3169
2000;AGO;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3134,3171
2000;SET;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;2671,21
2000;JUN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;2924,21
2000;JUL;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3537,317
2000;AGO;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;4114,3169
2000;OUT;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;AGO;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;AGO;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;OUT;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;OUT;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6937,4311
2000;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6467,2269
2000;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6532,2987
2000;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6606,9314
2000;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6444,5931
2000;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6596,9521
2000;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6473,8302
2000;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6658,9771
2000;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;8480,6689
2000;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;8152,1984
2000;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;9447,0411
2000;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;8817,2246
2000;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6741,3112
2000;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6100,6262
2000;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;8543,8627
2000;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;9403,1238
2000;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6322,6769
2000;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1786,6972
2000;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1835,7436
2000;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1611,789
2000;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1609,2553
2000;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1800,1514
2000;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1212,5979
2000;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1400,6668
2000;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;6502,7802
