Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da instalação de Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação de Gasoduto;Nome da Variável;01/11/2022;02/11/2022;03/11/2022;04/11/2022;05/11/2022;06/11/2022;07/11/2022;08/11/2022;09/11/2022;10/11/2022;11/11/2022;12/11/2022;13/11/2022;14/11/2022;15/11/2022;16/11/2022;17/11/2022;18/11/2022;19/11/2022;20/11/2022;21/11/2022;22/11/2022;23/11/2022;24/11/2022;25/11/2022;26/11/2022;27/11/2022;28/11/2022;29/11/2022;30/11/2022
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Pressão Média (kgf/cm²);28,9;28,9;28,9;28,8;28,8;28,8;28,9;29,3;29;28,9;28,9;29;28,9;28,9;28,9;28,9;28,9;28,9;28,9;28,9;28,9;28,9;29;28,7;28,9;28,9;28,9;28,9;28,9;28,9
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Gás de Uso no Sistema (mil m³);7697,7;6065,76;8252,68;8257,11;5700,99;6016,02;6005,2;5288,79;5542,75;5579,22;5506,56;5684,55;2936,8;5155,79;8992,75;6780,78;6867,72;6191,16;6065,09;4213,71;4690,25;5520,42;5408,6;4942,77;6160,13;6416,64;4759,21;4513,84;2734,49;3787,73
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Gás Não Contado (mil m³);7696,7;6064,76;8251,68;8256,11;5699,99;6015,02;6004,2;5287,79;5541,75;5578,22;5505,56;5683,55;2935,8;5154,79;8991,75;6779,78;6866,72;6190,16;6064,09;4212,71;4689,25;5519,42;5407,6;4941,77;6159,13;6415,64;4758,21;4512,84;2733,49;3786,73
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Perdas Operacionais (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Perdas Extraordinárias (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Desequilíbrio Diário (mil m³);58,48;-102,86;-316,43;-526,29;487,39;481,51;-71,6;-114,56;229,83;-95,36;-486,01;-612,22;1174,31;-83,77;-255,8;-6,9;-464,82;-44,67;872,67;-28,47;-691,68;-17,59;204,35;-520,07;-897,43;799,52;721,79;-971,78;2184,63;-1024,63
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Desequilíbrio Diário Acumulado (mil m³);3039,59;2936,73;2620,3;2094;2581,39;3062,9;2991,29;2876,74;3106,57;3011,21;2525,2;1912,98;3087,29;3003,52;2747,71;2740,81;2275,99;2231,32;3103,99;3075,52;2383,84;2366,26;2570,61;2050,54;1153,11;1952,62;2674,41;1702,64;3887,26;2862,63
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Empacotamento (mil m³);11738,73;11797,22;11694,36;11377,92;10851,63;11339,02;11820,52;11748,92;11634,36;11864,19;11768,83;11282,82;10670,6;11844,91;11761,14;11505,34;11498,43;11033,61;10988,95;11861,61;11833,15;11141,47;11123,88;11328,23;10808,16;9910,73;10710,25;11432,04;10460,26;12644,89
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Solicitado (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Programado (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
